placename,year_month,common_name,n_detections,sampling_days
BCAM1,2024-03,Striped Skunk,0,23
BCAM1,2024-03,Brush Rabbit,0,23
BCAM1,2024-03,Californian Sea Lion,0,23
BCAM1,2024-03,Domestic Cattle,0,23
BCAM1,2024-03,Elk,0,23
BCAM1,2024-03,Black-tailed Jackrabbit,0,23
BCAM1,2024-10,American Badger,0,31
BCAM1,2024-10,Bobcat,0,31
BCAM1,2024-10,Coyote,3,31
BCAM1,2024-10,Domestic Dog,0,31
BCAM1,2024-10,Human,20,31
BCAM1,2024-10,Human-Camera Trapper,2,31
BCAM1,2024-10,Mule Deer,12,31
BCAM1,2024-10,North American River Otter,0,31
BCAM1,2024-10,Northern Elephant Seal,0,31
BCAM1,2024-10,Northern Raccoon,3,31
BCAM1,2024-10,Striped Skunk,0,31
BCAM1,2024-10,Brush Rabbit,0,31
BCAM1,2024-10,Californian Sea Lion,0,31
BCAM1,2024-10,Domestic Cattle,0,31
BCAM1,2024-10,Elk,0,31
BCAM1,2024-10,Black-tailed Jackrabbit,0,31
BCAM1,2025-01,American Badger,0,31
BCAM1,2025-01,Bobcat,0,31
BCAM1,2025-01,Coyote,7,31
BCAM1,2025-01,Domestic Dog,0,31
BCAM1,2025-01,Human,3,31
BCAM1,2025-01,Human-Camera Trapper,2,31
BCAM1,2025-01,Mule Deer,0,31
BCAM1,2025-01,North American River Otter,0,31
BCAM1,2025-01,Northern Elephant Seal,11,31
BCAM1,2025-01,Northern Raccoon,0,31
BCAM1,2025-01,Striped Skunk,0,31
BCAM1,2025-01,Brush Rabbit,0,31
BCAM1,2025-01,Californian Sea Lion,0,31
BCAM1,2025-01,Domestic Cattle,0,31
BCAM1,2025-01,Elk,0,31
BCAM1,2025-01,Black-tailed Jackrabbit,0,31
BCAM1,2025-02,American Badger,0,28
BCAM1,2025-02,Bobcat,0,28
BCAM1,2025-02,Coyote,8,28
BCAM1,2025-02,Domestic Dog,0,28
BCAM1,2025-02,Human,6,28
BCAM1,2025-02,Human-Camera Trapper,3,28
BCAM1,2025-02,Mule Deer,0,28
BCAM1,2025-02,North American River Otter,0,28
BCAM1,2025-02,Northern Elephant Seal,26,28
BCAM1,2025-02,Northern Raccoon,0,28
BCAM1,2025-02,Striped Skunk,0,28
BCAM1,2025-02,Brush Rabbit,0,28
BCAM1,2025-02,Californian Sea Lion,0,28
BCAM1,2025-02,Domestic Cattle,0,28
BCAM1,2025-02,Elk,0,28
BCAM1,2025-02,Black-tailed Jackrabbit,0,28
BCAM1,2025-07,American Badger,0,31
BCAM1,2025-07,Bobcat,0,31
BCAM1,2025-07,Coyote,2,31
BCAM1,2025-07,Domestic Dog,0,31
BCAM1,2025-07,Human,12,31
BCAM1,2025-07,Human-Camera Trapper,0,31
BCAM1,2025-07,Mule Deer,11,31
BCAM1,2025-07,North American River Otter,0,31
BCAM1,2025-07,Northern Elephant Seal,0,31
BCAM1,2025-07,Northern Raccoon,2,31
BCAM1,2025-07,Striped Skunk,0,31
BCAM1,2025-07,Brush Rabbit,0,31
BCAM1,2025-07,Californian Sea Lion,0,31
BCAM1,2025-07,Domestic Cattle,0,31
BCAM1,2025-07,Elk,0,31
BCAM1,2025-07,Black-tailed Jackrabbit,0,31
BCAM1,2025-10,American Badger,0,29
BCAM1,2025-10,Bobcat,0,29
BCAM1,2025-10,Coyote,4,29
BCAM1,2025-10,Domestic Dog,0,29
BCAM1,2025-10,Human,5,29
BCAM1,2025-10,Human-Camera Trapper,2,29
BCAM1,2025-10,Mule Deer,13,29
BCAM1,2025-10,North American River Otter,1,29
BCAM1,2025-10,Northern Elephant Seal,0,29
BCAM1,2025-10,Northern Raccoon,7,29
BCAM1,2025-10,Striped Skunk,1,29
BCAM1,2025-10,Brush Rabbit,0,29
BCAM1,2025-10,Californian Sea Lion,0,29
BCAM1,2025-10,Domestic Cattle,0,29
BCAM1,2025-10,Elk,0,29
BCAM1,2025-10,Black-tailed Jackrabbit,0,29
BCAM1,2026-02,American Badger,0,28
BCAM1,2026-02,Bobcat,0,28
BCAM1,2026-02,Coyote,17,28
BCAM1,2026-02,Domestic Dog,0,28
BCAM1,2026-02,Human,1,28
BCAM1,2026-02,Human-Camera Trapper,3,28
BCAM1,2026-02,Mule Deer,0,28
BCAM1,2026-02,North American River Otter,0,28
BCAM1,2026-02,Northern Elephant Seal,143,28
BCAM1,2026-02,Northern Raccoon,0,28
BCAM1,2026-02,Striped Skunk,0,28
BCAM1,2026-02,Brush Rabbit,0,28
BCAM1,2026-02,Californian Sea Lion,0,28
BCAM1,2026-02,Domestic Cattle,0,28
BCAM1,2026-02,Elk,0,28
BCAM1,2026-02,Black-tailed Jackrabbit,0,28
BCAM1,2026-03,American Badger,0,31
BCAM1,2026-03,Bobcat,0,31
BCAM1,2026-03,Coyote,6,31
BCAM1,2026-03,Domestic Dog,0,31
BCAM1,2026-03,Human,1,31
BCAM1,2026-03,Human-Camera Trapper,0,31
BCAM1,2026-03,Mule Deer,0,31
BCAM1,2026-03,North American River Otter,0,31
BCAM1,2026-03,Northern Elephant Seal,26,31
BCAM1,2026-03,Northern Raccoon,1,31
BCAM1,2026-03,Striped Skunk,0,31
BCAM1,2026-03,Brush Rabbit,0,31
BCAM1,2026-03,Californian Sea Lion,0,31
BCAM1,2026-03,Domestic Cattle,0,31
BCAM1,2026-03,Elk,0,31
BCAM1,2026-03,Black-tailed Jackrabbit,0,31
BCAM1,2026-04,American Badger,0,30
BCAM1,2026-04,Bobcat,0,30
BCAM1,2026-04,Coyote,4,30
BCAM1,2026-04,Domestic Dog,0,30
BCAM1,2026-04,Human,7,30
BCAM1,2026-04,Human-Camera Trapper,2,30
BCAM1,2026-04,Mule Deer,0,30
BCAM1,2026-04,North American River Otter,0,30
BCAM1,2026-04,Northern Elephant Seal,0,30
BCAM1,2026-04,Northern Raccoon,1,30
BCAM1,2026-04,Striped Skunk,0,30
BCAM1,2026-04,Brush Rabbit,0,30
BCAM1,2026-04,Californian Sea Lion,0,30
BCAM1,2026-04,Domestic Cattle,0,30
BCAM1,2026-04,Elk,0,30
BCAM1,2026-04,Black-tailed Jackrabbit,0,30
BCAM1,2023-11,American Badger,0,4
BCAM1,2023-11,Bobcat,0,4
BCAM1,2023-11,Coyote,0,4
BCAM1,2023-11,Domestic Dog,0,4
BCAM1,2023-11,Human,0,4
BCAM1,2023-11,Human-Camera Trapper,1,4
BCAM1,2023-11,Mule Deer,0,4
BCAM1,2023-11,North American River Otter,0,4
BCAM1,2023-11,Northern Elephant Seal,0,4
BCAM1,2023-11,Northern Raccoon,0,4
BCAM1,2023-11,Striped Skunk,1,4
BCAM1,2023-11,Brush Rabbit,0,4
